Position, Company, Location, URL
프론트엔드/백엔드 개발자 상시, 에스디에이에이, 서울 성동구, https://kr.indeed.com/rc/clk?jk=5505541f4c619808&bb=gTJhr8SzMt4dNMPs5WDnHUfejUD61DmvbFDt0EHmso63w1FadPyaOmGpPeZ375CE&xkcb=SoCr67M3H2EbeX2dzR0IbzkdCdPP&fccid=70843328026d7cd5&vjs=3
Solutions Engineer, Netskope, 서울, https://kr.indeed.com/rc/clk?jk=ec333a7be87fc606&bb=6mWvom8aNOto3Z7txMnt1ZmFJHVkTbxptjYbO-vbtxaxfaAVe_l9-xXTGME3VxZB&xkcb=SoBz67M3H2EbECg1Tz0LbzkdCdPP&fccid=720a8d2e70b4a8fe&vjs=3
[한화로보틱스] 협동로봇 SW 개발자 경력사원 모집, 한화그룹, 서울, https://kr.indeed.com/rc/clk?jk=8c5cea1c24ff2c56&bb=FpOjxNUkhtX9yHhy55EubLxJ9hYuRBYa9CzEL2-phsqaVtzZxQ2dipH-qZ0kPq-3&xkcb=SoDu67M3H2EbENA1Tz0KbzkdCdPP&fccid=bd0dc1817223394f&vjs=3
NLP 엔지니어 (Natural Language Processing developer), 브랜드인게이지먼트네트워크인크, 서울 중구, https://kr.indeed.com/rc/clk?jk=512ea7785830e3d6&bb=FpOjxNUkhtVB_roIFLLDsJAo_NkB4_rhfSAYY3Uc0fe5z21vxLxxaeyZZo7dCBDV&xkcb=SoBJ67M3H2EbENA1Tz0PbzkdCdPP&fccid=f23a41cb201e2ca6&vjs=3
퍼즐데이터 역량있는 데이터 분석가, 주식회사퍼즐데이터, 서울 역삼동, https://kr.indeed.com/rc/clk?jk=116009dbf59211ed&bb=BRkMaNXt-W73fIJCl235ZXyz1OWNslei4QuhwX27UHd4tkC95oV3IDB-7I20HxKE&xkcb=SoCr67M3H2EbENg1Tz0KbzkdCdPP&fccid=bbae7241cc714540&vjs=3
[경력] IT 각 분야별 인재 모집, LG그룹, 서울 여의도, https://kr.indeed.com/rc/clk?jk=62187261deef9b02&bb=BRkMaNXt-W42M5t8IUMGDl2t67PpDC4UzzdbY4rEN34GyTAB7wrxcgAyc6P8SjgG&xkcb=SoCC67M3H2EbENg1Tz0IbzkdCdPP&fccid=1e75eb5b018388ba&vjs=3
Solutions Architect - Generative AI, NVIDIA, 서울, https://kr.indeed.com/rc/clk?jk=06fed7b0b07a2ce5&bb=QpeXnx7w7xZNoCKrUijyi28s0LIxHtRX6BO5l6D5TWt1y2gt3GqnLKXXy7JLUVpb&xkcb=SoAl67M3H2EbEMA1Tz0KbzkdCdPP&fccid=c267f29f0f85e8b8&vjs=3
어시스턴트 - 데이터 산출 지원 담당, 카카오페이, 성남 백현동, https://kr.indeed.com/rc/clk?jk=ea40d5e4408124ba&bb=QpeXnx7w7xbtvQgP1ec7ce19Y2zfGYKknvBjjvqhDB1dikuzhKIKi8_Gz2JSx-OU&xkcb=SoAM67M3H2EbEMA1Tz0IbzkdCdPP&fccid=c3aa6121be03065c&vjs=3
Python 개발자 (경력) - 정규직, 주)씽크풀, 서울 영등포구, https://kr.indeed.com/rc/clk?jk=81886dfb72fb0780&bb=QpeXnx7w7xZl2pe8RMB1SPU8grUIBHeWCl15mr5W-brd0pdtNyZzvYb4kXeVivTu&xkcb=SoA267M3H2EbEMA1Tz0ObzkdCdPP&fccid=3254e385986adc64&vjs=3
백엔드개발자  모바일앱 개발자  블록체인 개발자 신입, 와이즈텍, 서울 용산구, https://kr.indeed.com/rc/clk?jk=52049395e06b34cb&bb=bJ_EuhMSQXQ5R3CAMPokDA-LSATUYJmOcn_FSKySnmKmF7AbR6Kh_z4x23yuGK_g&xkcb=SoDU67M3H2EbEMg1Tz0LbzkdCdPP&fccid=8b01882cef0e8002&vjs=3
AI 개발자 얼굴인식/ 피부질환 진단 솔루션 개발, 룰루랩, 서울 강남구, https://kr.indeed.com/rc/clk?jk=b867f0e4b8bbf14a&bb=bJ_EuhMSQXRcmv7DY94PfyRbMDDjQiUtw2asPvJH-gYPH1JQ4KOIhYHzDhm5W86g&xkcb=SoD967M3H2EbEMg1Tz0JbzkdCdPP&fccid=aa1750cccb46aeae&vjs=3
모바일 악성코드 분석, 안랩, 성남 분당구, https://kr.indeed.com/rc/clk?jk=66c8fa51583ba15f&bb=bJ_EuhMSQXRlUThO4QIdkTxeX88oG8cKxeFWBQjNWV6nLbppnGjVWiSq28MP2GlI&xkcb=SoDH67M3H2EbEMg1Tz0PbzkdCdPP&fccid=0b88b2af6686dd2b&vjs=3
